team1,score,team2
FC Barcelona,0 - 0,Benfica
Benfica,2 - 0,Dynamo Kiev
Benfica,2 - 2,Ajax Amsterdam
Ajax Amsterdam,0 - 1,Benfica
Benfica,1 - 3,Liverpool
Liverpool,3 - 3,Benfica
BSC Young Boys,2 - 1,Manchester Utd
Manchester Utd,2 - 1,Villarreal
Manchester Utd,3 - 2,Atalanta
Atalanta,2 - 2,Manchester Utd
Villarreal,0 - 2,Manchester Utd
Manchester Utd,1 - 1,BSC Young Boys
Atletico Madrid,1 - 1,Manchester Utd
Manchester Utd,0 - 1,Atletico Madrid
Atletico Madrid,0 - 0,FC Porto
AC Milan,1 - 2,Atletico Madrid
Atletico Madrid,2 - 3,Liverpool
Liverpool,2 - 0,Atletico Madrid
Atletico Madrid,0 - 1,AC Milan
FC Porto,1 - 3,Atletico Madrid
Atletico Madrid,1 - 1,Manchester Utd
Manchester Utd,0 - 1,Atletico Madrid
Manchester City,1 - 0,Atletico Madrid
Atletico Madrid,0 - 0,Manchester City
Lille,0 - 0,Wolfsburg
Salzburg,2 - 1,Lille
Lille,0 - 0,FC Sevilla
FC Sevilla,1 - 2,Lille
Lille,1 - 0,Salzburg
Wolfsburg,1 - 3,Lille
Chelsea,2 - 0,Lille
Lille,1 - 2,Chelsea
FC Sevilla,1 - 1,Salzburg
Salzburg,2 - 1,Lille
Salzburg,3 - 1,Wolfsburg
Wolfsburg,2 - 1,Salzburg
Lille,1 - 0,Salzburg
Salzburg,1 - 0,FC Sevilla
Salzburg,1 - 1,Bayern Munich
Bayern Munich,7 - 1,Salzburg
Sporting CP,1 - 5,Ajax Amsterdam
Dortmund,1 - 0,Sporting CP
Besiktas,1 - 4,Sporting CP
Sporting CP,4 - 0,Besiktas
Sporting CP,3 - 1,Dortmund
Ajax Amsterdam,4 - 2,Sporting CP
Sporting CP,0 - 5,Manchester City
Manchester City,0 - 0,Sporting CP
Besiktas,1 - 2,Dortmund
Dortmund,1 - 0,Sporting CP
Ajax Amsterdam,4 - 0,Dortmund
Dortmund,1 - 3,Ajax Amsterdam
Sporting CP,3 - 1,Dortmund
Dortmund,5 - 0,Besiktas
Manchester City,6 - 3,RB Leipzig
RB Leipzig,1 - 2,Club Brugge
Paris SG,3 - 2,RB Leipzig
RB Leipzig,2 - 2,Paris SG
Club Brugge,0 - 5,RB Leipzig
RB Leipzig,2 - 1,Manchester City
S. Tiraspol,2 - 0,Shakhtar
Real Madrid,1 - 2,S. Tiraspol
Inter Milan,3 - 1,S. Tiraspol
S. Tiraspol,1 - 3,Inter Milan
S. Tiraspol,0 - 3,Real Madrid
Shakhtar,1 - 1,S. Tiraspol
FC Barcelona,0 - 3,Bayern Munich
Benfica,3 - 0,FC Barcelona
FC Barcelona,1 - 0,Dynamo Kiev
Dynamo Kiev,0 - 1,FC Barcelona
FC Barcelona,0 - 0,Benfica
Bayern Munich,3 - 0,FC Barcelona
FC Sevilla,1 - 1,Salzburg
Wolfsburg,1 - 1,FC Sevilla
Lille,0 - 0,FC Sevilla
FC Sevilla,1 - 2,Lille
FC Sevilla,2 - 0,Wolfsburg
Salzburg,1 - 0,FC Sevilla
Villarreal,2 - 2,Atalanta
Atalanta,1 - 0,BSC Young Boys
Manchester Utd,3 - 2,Atalanta
Atalanta,2 - 2,Manchester Utd
BSC Young Boys,3 - 3,Atalanta
Atalanta,2 - 3,Villarreal
Chelsea,1 - 0,Zenit
Zenit,4 - 0,Malmo FF
Zenit,0 - 1,Juventus
Juventus,4 - 2,Zenit
Malmo FF,1 - 1,Zenit
Zenit,3 - 3,Chelsea
BSC Young Boys,2 - 1,Manchester Utd
Atalanta,1 - 0,BSC Young Boys
BSC Young Boys,1 - 4,Villarreal
Villarreal,2 - 0,BSC Young Boys
BSC Young Boys,3 - 3,Atalanta
Manchester Utd,1 - 1,BSC Young Boys
Lille,0 - 0,Wolfsburg
Wolfsburg,1 - 1,FC Sevilla
Salzburg,3 - 1,Wolfsburg
Wolfsburg,2 - 1,Salzburg
FC Sevilla,2 - 0,Wolfsburg
Wolfsburg,1 - 3,Lille
Atletico Madrid,0 - 0,FC Porto
FC Porto,1 - 5,Liverpool
FC Porto,1 - 0,AC Milan
AC Milan,1 - 1,FC Porto
Liverpool,2 - 0,FC Porto
FC Porto,1 - 3,Atletico Madrid
Liverpool,3 - 2,AC Milan
AC Milan,1 - 2,Atletico Madrid
FC Porto,1 - 0,AC Milan
AC Milan,1 - 1,FC Porto
Atletico Madrid,0 - 1,AC Milan
AC Milan,1 - 2,Liverpool
Club Brugge,1 - 1,Paris SG
RB Leipzig,1 - 2,Club Brugge
Club Brugge,1 - 5,Manchester City
Manchester City,4 - 1,Club Brugge
Club Brugge,0 - 5,RB Leipzig
Paris SG,4 - 1,Club Brugge
S. Tiraspol,2 - 0,Shakhtar
Shakhtar,0 - 0,Inter Milan
Shakhtar,0 - 5,Real Madrid
Real Madrid,2 - 1,Shakhtar
Inter Milan,2 - 0,Shakhtar
Shakhtar,1 - 1,S. Tiraspol
Dynamo Kiev,0 - 0,Benfica
Bayern Munich,5 - 0,Dynamo Kiev
FC Barcelona,1 - 0,Dynamo Kiev
Dynamo Kiev,0 - 1,FC Barcelona
Dynamo Kiev,1 - 2,Bayern Munich
Benfica,2 - 0,Dynamo Kiev
Malmo FF,0 - 3,Juventus
Zenit,4 - 0,Malmo FF
Chelsea,4 - 0,Malmo FF
Malmo FF,0 - 1,Chelsea
Malmo FF,1 - 1,Zenit
Juventus,1 - 0,Malmo FF
Besiktas,1 - 2,Dortmund
Ajax Amsterdam,2 - 0,Besiktas
Besiktas,1 - 4,Sporting CP
Sporting CP,4 - 0,Besiktas
Besiktas,1 - 2,Ajax Amsterdam
Dortmund,5 - 0,Besiktas
